name,acc,roc_auc,tpr@1%fpr
CelebDF • baseline,0.6241397564849126,0.6781743532058492,0.014
FF++   • baseline,0.9994353472614342,0.9999974059662776,1.0
CelebDF • robust,0.6167284277395447,0.675695163104612,0.012
FF++   • robust,0.9983060417843026,0.9999987029831388,1.0
